sex,pclass,embarked,survived,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone
female,1,C,43,38,43,43,43,43,43,43,35,43,43,43
female,1,Q,1,1,1,1,1,1,1,1,1,1,1,1
female,1,S,48,44,48,48,48,48,48,48,43,48,48,48
female,2,C,7,7,7,7,7,7,7,7,1,7,7,7
female,2,Q,2,1,2,2,2,2,2,2,1,2,2,2
female,2,S,67,66,67,67,67,67,67,67,8,67,67,67
female,3,C,23,16,23,23,23,23,23,23,1,23,23,23
female,3,Q,33,10,33,33,33,33,33,33,0,33,33,33
female,3,S,88,76,88,88,88,88,88,88,5,88,88,88
male,1,C,42,36,42,42,42,42,42,42,31,42,42,42
male,1,Q,1,1,1,1,1,1,1,1,1,1,1,1
male,1,S,79,64,79,79,79,79,79,79,62,79,79,79
male,2,C,10,8,10,10,10,10,10,10,1,10,10,10
male,2,Q,1,1,1,1,1,1,1,1,0,1,1,1
male,2,S,97,90,97,97,97,97,97,97,5,97,97,97
male,3,C,43,25,43,43,43,43,43,43,0,43,43,43
male,3,Q,39,14,39,39,39,39,39,39,1,39,39,39
male,3,S,265,214,265,265,265,265,265,265,5,265,265,265
